YEAR;DEPARTAMENTO;UBIGEO;EVN
2017;TACNA;230000;77.53434024
2017;TUMBES;240000;79.05792367
2017;UCAYALI;250000;72.86122256
2019;AMAZONAS;010000;68.94728413
2019;ANCASH;020000;74.93258987
2019;APURIMAC;030000;69.78497127
2019;AREQUIPA;040000;77.59079321
2019;AYACUCHO;050000;73.16927294
2019;CAJAMARCA;060000;73.31906244
2019;CALLAO;070000;78.08759279
2019;CUSCO;080000;72.40930389
2019;HUANCAVELICA;090000;74.18214557
2019;HUANUCO;100000;72.52451622
2019;ICA;110000;76.81296988
2019;JUNIN;120000;72.94321539
2019;LA LIBERTAD;130000;76.88975907
2019;LAMBAYEQUE;140000;77.57680147
2019;LIMA;150000;77.65637053
2019;LORETO;160000;74.14455669
2019;MADRE DE DIOS;170000;74.51477653
2019;MOQUEGUA;180000;76.08858297
2019;PASCO;190000;73.13202643
2019;PIURA;200000;77.04983509
2019;PUNO;210000;74.12476311
2019;SAN MARTIN;220000;71.03680533
2019;TACNA;230000;74.85910378
2019;TUMBES;240000;72.66095308
2019;UCAYALI;250000;70.6378132
